make,price,mileage,gear,fuel,hp
"BMW 118 
i M Sport*M Sportsitze*Kamera*LC.Prof.*DAB*","€ 29,666.-","8,100 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i M Sport +LED-SW+PDC+SHZ+ALARM+DAB+TEMPO+1HD","€ 24,990.-","22,130 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage DAB LED WLAN Tempomat Klima Shz","€ 27,900.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Sport DAB LED WLAN Tempomat Klimaaut.","€ 25,430.-","19,950 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M Sport LiveProf.HUD HiFi DrivAss.Sitzh.18""","€ 25,830.-","26,004 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage +Live CP Plus +LED +PDC+SHZ +LM18","€ 28,990.-","6,534 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage, Live Cockpit Prof., ad. LED, PDC","€ 27,700.-","8,100 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Paket 8-fach bereift, Pano-Dach, Garantie bis","€ 28,888.-","13,337 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage DAB LED WLAN Tempomat Klima Shz","€ 27,900.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Sport DAB+Business+Comfortpaket","€ 25,734.-","17,855 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i *DAB *16"" *Klima *Lederlenkrad *Freispr. * Navi","€ 27,990.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage Navi R-Kamera","€ 24,930.-","12,878 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M Sport LED.Hifi.PDC.Tempomat.SH.Lordose.","€ 25,220.-","21,177 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i M Sport Navi Groß,Kamera,NP:41.900","€ 28,990.-","6,900 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage PDC SHZ NAVI W-LAN LED HUD","€ 23,590.-","20,438 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Sport Line*Navi*LED*Live Cockpit*17""* Sport Line","€ 25,890.-","10,800 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage DAB LED WLAN Komfortzg. Tempomat","€ 23,490.-","4,816 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Sport DAB LED Tempomat Shz PDC","€ 25,780.-","21,145 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i 5-Türer Advantage","€ 25,770.-","21,814 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Sport Line Shadow LiveCoProf 17"" 1.Hand BMW","€ 27,950.-","17,350 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Sport LiveCockpit LED DAB HiFi","€ 27,340.-","10,400 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage Lenkradheizung","€ 26,340.-","26,081 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i F40 Sport Line *LED*Navi*PDC*Sportsitze","€ 21,949.-","22,577 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage Lim. (F40)","€ 25,470.-","23,513 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage Tempomat/LiveCockpit/PDC/SHZ Tempomat/","€ 26,330.-","14,796 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Luxury Line Head-Up DAB LED WLAN Pano.Dach","€ 25,888.-","11,635 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage Navi LED Navi Tempomat PDC Sitzhz","€ 24,420.-","14,568 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage LED~KAMERA~NAVI~SHZ~TEMPOMAT~HIFI","€ 27,900.-","3,500 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage DAB LED WLAN Tempomat Klimaaut.","€ 24,490.-","20,997 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage Lim. (F40)","€ 25,900.-","9,700 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Sport Line Lim. (F40)","€ 25,900.-","12,500 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i *13tkm* PanoDach Navi Tempomat Advantage","€ 24,960.-","13,800 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i M Sport 1. Hand Unfallfrei Topzustand","€ 25,980.-","22,800 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Lim. AHK Sitzh elHeckkl. Tempomat 2-Z DAB","€ 24,690.-","12,200 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i ADVANTAGE LED PDC DAB LC PLUS WLAN GRA Shz","€ 24,790.-","17,000 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage KLIMAAUTOMATIK PDC SITZHEIZUNG","€ 23,890.-","19,177 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
Edition M Sport Shadow Navi,LED,PDC,HiFi,Tempomat","€ 20,898.-","23,830 km",Manual,Gasoline,100 kW (136 hp)
"BMW 116 
Baureihe 1 Lim. 116 i Advantage","€ 25,995.-","7,880 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i 17"" M Sport LCProf RFK DAB HiFi SHZ LED","€ 27,949.-","14,506 km",Manual,Gasoline,103 kW (140 hp)
"BMW 116 
i Navi Bluetooth - frei konfigurierbar","€ 26,379.-",0 km,Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i Hatch Advantage HiFi DAB LED WLAN Tempomat","€ 23,490.-","11,170 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Advantage *DAB*LED*WLAN*Tempomat*Klimaaut.*Live","€ 26,940.-","19,622 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Sport Line,LCPlus,LED,DAB,PDCv+h,Shz.WireCh","€ 24,399.-","27,640 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage*E6*Garantie*Navi Prof*LED","€ 23,999.-","10,900 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i Sport Line +LED-SW+PDC+SHZ+DAB+ALARM+1HD+E6","€ 23,250.-","26,900 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Lim. AHK Navi KZU 2-Z Tempomat LED Sitzh","€ 23,690.-","15,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 116 
i Metropolitan / LED / Navi / DAB / AHK","€ 19,680.-","23,717 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Navi LiveCockpitProf HUD SitzHZG DAB Tempo Alarm","€ 23,999.-","25,936 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i 5-Türer SportLine ComfortPaket NP 35.800,-","€ 24,700.-","13,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i Sport Line+NAVI+LED-SW+PDC+ALARM+DAB+1HD+E6","€ 25,250.-","18,500 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Sport Line,Navi,DAB,LED,Tempo,PDC,17""LM","€ 24,949.-","12,712 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i M Sport +LED-SW+PDC+SHZ+ALARM+DAB+TEMPO+1HD","€ 24,990.-","26,788 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i Advantage,Navi, PDC, Comfort Paket, +Winterr.","€ 23,900.-","8,700 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i / LUXURY LINE / HIFI / LED / SHZ","€ 24,990.-","28,197 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i SportLine/Navi Plus/Sports.el/DAB/Alu 17J","€ 25,790.-","24,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage+LED+23.000KM+Navi+SHZ+1.Hand","€ 24,890.-","23,000 km",Manual,Gasoline,103 kW (140 hp)
"BMW 116 
Lim. 1er 116i Sport Line Xenon Nur 27.900 km","€ 16,950.-","27,900 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i 5-Türer Luxury Line LED Head Up Glasdach","€ 26,899.-","28,455 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Shz Navi Temp Rfk 2xPDC LED NP:39.000€","€ 23,790.-","9,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Sport Line Panoramadach HIFI Metallic","€ 25,860.-","27,288 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i Advantage Navi Prof LED DAB Ambienes Licht","€ 22,980.-","11,900 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i digitales Cockpit Scheinwerferreg. Sperrdiff. Fa","€ 22,999.-","1,378 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Limousine Sport Line Navi LED Bluetooth PDC","€ 23,990.-","26,721 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i","€ 21,650.-","28,105 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage DAB LED WLAN Tempomat AHK Shz","€ 25,690.-","18,633 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i 5-trg. Advantage LiveCockp.LED.AHK.Klimaaut","€ 25,680.-","11,552 km",Manual,Gasoline,100 kW (136 hp)
"BMW 116 
i Advantage 16"" LCProf LED PDC DAB AGP Tempom","€ 26,390.-","12,500 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i M Sport Navi LED Sitzh.Temp. Bluet. PDC 18""","€ 20,840.-","21,386 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage HiFi LED WLAN Komfortzg. Shz PDC","€ 24,490.-","27,800 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i 5-Türer/ AHK/LED/Sitzheiz/Navi/16""LM-Räder","€ 24,300.-","19,300 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i SPORT LINE+LED+AHK+NAVI+17""+HUD+LIVECOCKPIT PLUS","€ 24,880.-","28,490 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i SPORT-LINE +NAVI+LED+SHZ+PDC+MFL+DAB+HIFI+","€ 27,700.-","17,900 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage Navi Bluetooth PDC MP3 Schn. Klim","€ 21,990.-","6,487 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Aut. Lim. M Sport Navi.LED.WirelessCharging","€ 24,689.-","22,990 km",Manual,Gasoline,103 kW (140 hp)
